teamID,yearID,H
TBA,2014,1361
SFN,2014,1407
CIN,2014,1282
ARI,2014,1379
NYN,2014,1306
ATL,2014,1316
CHN,2014,1315
DET,2014,1557
PIT,2014,1436
WAS,2014,1403
MIN,2014,1412
NYA,2014,1349
COL,2014,1551
TEX,2014,1400
HOU,2014,1317
KCA,2014,1456
PHI,2014,1356
SLN,2014,1371
MIL,2014,1366
SDN,2014,1199
BOS,2014,1355
LAA,2014,1464
CLE,2014,1411
CHA,2014,1400
ARI,2015,1494
TEX,2015,1419
TOR,2015,1480
ATL,2015,1361
NYA,2015,1397
BAL,2015,1370
COL,2015,1479
SDN,2015,1324
PIT,2015,1462
HOU,2015,1363
KCA,2015,1497
PHI,2015,1374
CLE,2015,1395
LAA,2015,1331
OAK,2015,1405
MIA,2015,1420
WAS,2015,1363
MIL,2015,1378
NYN,2015,1351
MIN,2015,1349
LAN,2015,1346
SEA,2015,1379
DET,2015,1515
BOS,2015,1495
SLN,2015,1386
CHN,2015,1341
TBA,2015,1383
SFN,2015,1486
CHA,2015,1381
CIN,2015,1382
NYN,2016,1342
MIL,2016,1299
BAL,2016,1413
LAA,2016,1410
MIA,2016,1460
BOS,2016,1598
SLN,2016,1415
MIN,2016,1409
TOR,2016,1358
OAK,2016,1352
LAN,2016,1376
TBA,2016,1333
CIN,2016,1403
CHA,2016,1428
PHI,2016,1305
KCA,2016,1450
TEX,2016,1446
HOU,2016,1367
CHN,2016,1409
PIT,2016,1426
DET,2016,1476
ATL,2016,1404
SFN,2016,1437
SDN,2016,1275
COL,2016,1544
NYA,2016,1378
ARI,2016,1479
CLE,2016,1435
SEA,2016,1446
WAS,2016,1403
