yearID,teamID,salary,adjusted_salary
2012,PHI,174538938,187816861
2012,PIT,62951999,67741026
2012,SDN,55244700,59447400
2012,SEA,81978100,88214524
2012,SFN,117620683,126568591
2012,SLN,110300862,118691920
2012,TBA,64173500,69055452
2012,TEX,120510974,129678759
2012,TOR,75009200,80715470
2012,WAS,80855143,87006139
2013,ARI,90132000,94993855
2013,ATL,87871525,92611447
2013,BAL,84393333,88945636
2013,BOS,151530000,159703756
2013,CHA,120065277,126541779
2013,CHN,100567726,105992500
2013,CIN,106404462,112144079
2013,CLE,75771800,79859045
2013,COL,74409071,78422808
2013,DET,145989500,153864393
2013,HOU,17890700,18855751
2013,KCA,80091725,84411993
2013,LAA,124174750,130872923
2013,LAN,223362196,235410689
2013,MIA,33601900,35414437
2013,MIL,76947033,81097671
2013,MIN,75337500,79401318
2013,NYA,231978886,244492176
2013,NYN,49448346,52115664
2013,OAK,60132500,63376137
2013,PHI,169863189,179025865
2013,PIT,77062000,81218840
2013,SDN,65585500,69123280
2013,SEA,74005043,77996986
2013,SFN,140180334,147741872
2013,SLN,92260110,97236759
2013,TBA,52955272,55811759
2013,TEX,112522600,118592238
2013,TOR,126288100,133100270
2013,WAS,113703270,119836595
2014,ARI,97861500,101316598
2014,ATL,97609000,101055183
2014,BAL,103416000,107067205
2014,BOS,139019929,143928166
2014,CHA,81830500,84719607
2014,CHN,65522500,67835837
2014,CIN,108217500,112038227
2014,CLE,82151899,85052353
2014,COL,95403500,98771815
2014,DET,152855500,158252216
2014,HOU,35116300,36356116
2014,KCA,74594075,77227693
2014,LAA,121988250,126295167
2014,LAN,217014600,224676517
2014,MIA,41836900,43313993
2014,MIL,101217000,104790567
2014,MIN,83762500,86719818
2014,NYA,197543907,204518392
2014,NYN,85556990,88577665
2014,OAK,72408400,74964850
2014,PHI,180944967,187333410
2014,PIT,77178000,79902846
2014,SDN,75685700,78357859
2014,SEA,92531100,95798003
2014,SFN,163510167,169283056
2014,SLN,120693000,124954187
2014,TBA,72689100,75255461
2014,TEX,112255059,116218336
2014,TOR,109920100,113800939
2014,WAS,131983680,136643495
2015,ARI,61834000,62947012
2015,ATL,71781250,73073312
2015,BAL,115044833,117115639
2015,BOS,181103400,184363261
2015,CHA,112373700,114396426
2015,CHN,115879310,117965137
2015,CIN,113072286,115107587
2015,CLE,87663766,89241713
2015,COL,95688600,97410994
2015,DET,172284750,175385875
2015,HOU,72256200,73556811
2015,KCA,112107025,114124951
2015,LAA,120005415,122165512
2015,LAN,215792000,219676256
2015,MIA,68056500,69281517
2015,MIL,100850000,102665300
2015,MIN,107755000,109694590
2015,NYA,212751957,216581492
2015,NYN,96766683,98508483
2015,OAK,79053501,80476464
2015,PHI,111693000,113703474
2015,PIT,88892499,90492563
2015,SDN,118441300,120573243
2015,SEA,122208700,124408456
2015,SFN,164701500,167666127
2015,SLN,119241500,121387847
2015,TBA,64521233,65682615
2015,TEX,143742789,146330159
2015,TOR,112992400,115026263
2015,WAS,155587472,158388046
2016,ARI,87439063,87439063
2016,ATL,68498291,68498291
2016,BAL,161863456,161863456
2016,BOS,188545761,188545761
2016,CHC,154067668,154067668
2016,CHW,112998667,112998667
2016,CIN,88940059,88940059
2016,CLE,74311900,74311900
2016,COL,112645071,112645071
2016,DET,194876481,194876481
2016,HOU,94893700,94893700
2016,KCR,131487125,131487125
2016,LAA,137251333,137251333
2016,LAD,221288380,221288380
2016,MIA,77314202,77314202
2016,MIL,68775237,68775237
2016,MIN,102583200,102583200
2016,NYM,133889129,133889129
2016,NYY,222997792,222997792
2016,OAK,86806234,86806234
2016,PHI,58980000,58980000
2016,PIT,103778833,103778833
2016,SDP,101424814,101424814
2016,SEA,135683339,135683339
2016,SFG,172253778,172253778
2016,STL,143053500,143053500
2016,TBR,57097310,57097310
2016,TEX,176038723,176038723
2016,TOR,138701700,138701700
2016,WSN,141652646,141652646
