yearID,teamID,lgID,salary,adjusted_salary
2010,COL,NL,84227000,93097047
2010,DET,AL,122864928,135803983
2010,FLO,NL,57029719,63035588
2010,HOU,NL,92355500,102081570
2010,KCA,AL,71405210,78924979
2010,LAA,AL,104963866,116017738
2010,LAN,NL,95358016,105400284
2010,MIL,NL,81108278,89649889
2010,MIN,AL,97559166,107833240
2010,NYA,AL,206333389,228062609
2010,NYN,NL,134422942,148579185
2010,OAK,AL,55254900,61073860
2010,PHI,NL,141928379,156875029
2010,PIT,NL,34943000,38622889
2010,SDN,NL,37799300,41779990
2010,SEA,AL,86510000,95620473
2010,SFN,NL,98641333,109029371
2010,SLN,NL,93540751,103391641
2010,TBA,AL,71923471,79497819
2010,TEX,AL,55250544,61069046
2010,TOR,AL,62234000,68787938
2010,WAS,NL,61400000,67866108
2011,ARI,NL,53639833,58701692
2011,ATL,NL,87002692,95212922
2011,BAL,AL,85304038,93353970
2011,BOS,AL,161762475,177027602
2011,CHA,AL,127789000,139848133
2011,CHN,NL,125047329,136847738
2011,CIN,NL,75947134,83114078
2011,CLE,AL,48776566,53379490
2011,COL,NL,88148071,96466387
2011,DET,AL,105700231,115674902
2011,FLO,NL,56944000,62317665
2011,HOU,NL,70694000,77365219
2011,KCA,AL,35712000,39082053
2011,LAA,AL,138543166,151617144
2011,LAN,NL,104188999,114021058
2011,MIL,NL,85497333,93565506
2011,MIN,AL,112737000,123375713
2011,NYA,AL,202275028,221363225
2011,NYN,NL,118847309,130062637
2011,OAK,AL,66536500,72815385
2011,PHI,NL,172976379,189299734
2011,PIT,NL,45047000,49297974
2011,SDN,NL,45869140,50197698
2011,SEA,AL,86110600,94236645
2011,SFN,NL,118198333,129352419
2011,SLN,NL,105433572,115383079
2011,TBA,AL,41053571,44927695
2011,TEX,AL,92299264,101009318
2011,TOR,AL,62567800,68472169
2011,WAS,NL,63856928,69882949
2012,ARI,NL,73804833,79419482
2012,ATL,NL,82829942,89131170
2012,BAL,AL,77353999,83238648
2012,BOS,AL,173186617,186361664
2012,CHA,AL,96919500,104292581
2012,CHN,NL,88197033,94906558
2012,CIN,NL,82203616,88457196
